"patch","variant","m","rmse"
"top-left","naive_full",NA,0.0631889969919094
"top-left","corrected_m",5,0.0182134234389747
"top-left","corrected_m",8,0.146988044744305
"top-left","corrected_m",10,0.194523497773872
"top-left","corrected_m",12,0.158689357749375
"top-left","corrected_m",15,0.0683263983181114
"top-left","corrected_m",18,0.0853582248233396
"top-left","corrected_m",20,2.69295240490134
"top-left","corrected_m",22,1.31103155262532
"top-left","corrected_m",25,0.0347584692924112
"top-left","corrected_m",27,0.268165583371935
"top-left","corrected_m",28,0.207125729822094
"top-right","naive_full",NA,0.0512179792748233
"top-right","corrected_m",5,0.0307031118288226
"top-right","corrected_m",8,0.0750846589729805
"top-right","corrected_m",10,0.058687359350129
"top-right","corrected_m",12,0.164512727892458
"top-right","corrected_m",15,0.0507327558177181
"top-right","corrected_m",18,0.13332986545477
"top-right","corrected_m",20,0.13461995786026
"top-right","corrected_m",22,0.0377345921992776
"top-right","corrected_m",25,0.107937524996974
"top-right","corrected_m",27,0.0696558094192327
"top-right","corrected_m",28,0.0428958086239901
"bottom-left","naive_full",NA,0.0640175326975075
"bottom-left","corrected_m",5,0.0192188942318601
"bottom-left","corrected_m",8,0.0375176973202915
"bottom-left","corrected_m",10,0.0823934146105002
"bottom-left","corrected_m",12,0.0321338544696254
"bottom-left","corrected_m",15,0.0826369597483341
"bottom-left","corrected_m",18,0.115330793081399
"bottom-left","corrected_m",20,0.109093699494915
"bottom-left","corrected_m",22,0.0381361280918655
"bottom-left","corrected_m",25,0.0540646189447175
"bottom-left","corrected_m",27,1.55380152007718
"bottom-left","corrected_m",28,0.0866122893461164
"bottom-right","naive_full",NA,53.5100179207517
"bottom-right","corrected_m",5,0.0656377076221269
"bottom-right","corrected_m",8,0.115864814131381
"bottom-right","corrected_m",10,0.0411432045862289
"bottom-right","corrected_m",12,0.0963143651524631
"bottom-right","corrected_m",15,0.121502348935785
"bottom-right","corrected_m",18,0.148252238129468
"bottom-right","corrected_m",20,0.057115728391254
"bottom-right","corrected_m",22,0.134735187263835
"bottom-right","corrected_m",25,0.0485877102195415
"bottom-right","corrected_m",27,0.052114930625812
"bottom-right","corrected_m",28,0.0550331425871749
"center","naive_full",NA,0.435288466390677
"center","corrected_m",5,0.0673369684615361
"center","corrected_m",8,0.0525184412329933
"center","corrected_m",10,0.171443171366508
"center","corrected_m",12,0.20131854389406
"center","corrected_m",15,0.133222658620407
"center","corrected_m",18,0.146334453458231
"center","corrected_m",20,0.0644250775020393
"center","corrected_m",22,0.103090626808724
"center","corrected_m",25,0.0313149477646132
"center","corrected_m",27,1.1064806042746
"center","corrected_m",28,0.101929149012816
